Active,Type ,Scale,Scale_Name,Nominal_api_mg,Nominal_tablet_mass_mg
7.953216553,4,1,Pilot,20,250
8.297623634,4,1,Pilot,20,250
8.004640579,4,1,Pilot,20,250
8.463950157,4,1,Pilot,20,250
7.97851944,4,1,Pilot,20,250
7.98759222,4,1,Pilot,20,250
8.144972801,4,1,Pilot,20,250
8.199921608,4,1,Pilot,20,250
7.993791103,4,1,Pilot,20,250
8.134532928,4,1,Pilot,20,250
8.236207962,4,1,Pilot,20,250
8.017041206,4,1,Pilot,20,250
8.141799927,4,1,Pilot,20,250
8.362918854,4,1,Pilot,20,250
8.477917671,4,1,Pilot,20,250
8.055770874,4,1,Pilot,20,250
7.486423492,4,1,Pilot,20,250
8.194174767,4,1,Pilot,20,250
7.920405865,4,1,Pilot,20,250
8.152173996,4,1,Pilot,20,250
8.230293274,4,1,Pilot,20,250
8.153845787,4,1,Pilot,20,250
8.297954559,4,1,Pilot,20,250
8.153014183,4,1,Pilot,20,250
8.032595634,4,1,Pilot,20,250
6.731898308,4,2,Lab,20,250
6.788919449,4,2,Lab,20,250
6.718241215,4,2,Lab,20,250
6.735340595,4,2,Lab,20,250
6.731898308,4,2,Lab,20,250
6.834249973,4,2,Lab,20,250
6.819062233,4,2,Lab,20,250
6.832543373,4,2,Lab,20,250
6.770833492,4,2,Lab,20,250
6.742454052,4,2,Lab,20,250
8.442623138,4,2,Lab,20,250
8.35312748,4,2,Lab,20,250
8.455156326,4,2,Lab,20,250
8.418972015,4,2,Lab,20,250
8.586057663,4,2,Lab,20,250
8.751505852,4,2,Lab,20,250
8.585445404,4,2,Lab,20,250
8.565488815,4,2,Lab,20,250
8.433253288,4,2,Lab,20,250
8.481966019,4,2,Lab,20,250
9.105625153,4,2,Lab,20,250
9.141941071,4,2,Lab,20,250
9.04854393,4,2,Lab,20,250
9.382422447,4,2,Lab,20,250
9.109477043,4,2,Lab,20,250
9.129106522,4,2,Lab,20,250
9.10837841,4,2,Lab,20,250
9.265175819,4,2,Lab,20,250
9.037787437,4,2,Lab,20,250
8.996357918,4,2,Lab,20,250
